# DIGITAL FOREST TWIN - MATHISLE IMPORT FILE
# Generated: 2026-01-19 14:43:20
# Source: Mathisle raw data
# Records: 724
#
# REQUIRED FIELDS: LocationID, SpeciesID, Latitude, Longitude
# All coordinates in WGS84 (EPSG:4326)
#
LocationID,SpeciesID,VariantTypeID,Latitude,Longitude,DBH_cm,Height_m,TreeStatusID,CrownWidth_m,CrownBaseHeight_m,Age_years,HealthScore,TaperTypeID,StraightnessTypeID,BranchingPatternID,BarkCharacteristicID,FieldNotes,MeasurementDate
,1,1,47.8850040816667,8.08797290166667,7.96,,1,,,,,,,,,Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ),2025-02-13
,1,1,47.8850467283333,8.088674755,7.16,,1,,,,,,,,,TreeID: 188 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/188,2025-02-12
,1,1,47.8849164466667,8.08795971833333,8.59,,1,,,,,,,,,TreeID: 380 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/380,2025-03-05
,1,1,47.88496563,8.08797683333333,24.19,,1,,,,,,,,,TreeID: 244 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/244,2025-02-13
,1,1,47.8844704033333,8.08867063,8.59,,1,,,,,,,,,TreeID: 732 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/732,2025-04-10
,1,1,47.8850188633333,8.08816846,7.0,,1,,,,,,,,,TreeID: 249 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/249,2025-02-13
,1,1,47.8849817983333,8.088262045,7.64,,1,,,,,,,,,TreeID: 250 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/250,2025-02-13
,7,1,47.8844700866667,8.08879565666667,7.64,,1,,,,,,,,,TreeID: 736 | Plot: Mathisle | Species: 7 Europ. larch (Larix decidua ) | QR: https://dt.unr.uni-freiburg.de/mathisle/736,2025-04-10
,4,1,47.8843140316667,8.08841464333333,10.03,,1,,,,,,,,,TreeID: 803 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/803,2025-04-13
,4,1,47.8843063733333,8.08841494833333,9.23,,1,,,,,,,,,TreeID: 804 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/804,2025-04-13
,4,1,47.8842970733333,8.08845233166667,7.8,,1,,,,,,,,,TreeID: 806 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/806,2025-04-13
,4,1,47.884432175,8.088342865,23.87,,1,,,,,,,,,TreeID: 723 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/723,2025-04-10
,4,1,47.8845314583333,8.08787064666667,8.91,,1,,,,,,,,,TreeID: 643 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/643,2025-04-10
,4,1,47.8843164533333,8.08849955166667,8.28,,1,,,,,,,,,TreeID: 19233426 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: 19233426,2025-04-13
,4,1,47.884495755,8.088474425,51.41,,1,,,,,,,,,TreeID: 686 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/686,2025-04-10
,4,1,47.88432187,8.08851328833333,9.55,,1,,,,,,,,,TreeID: 811 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/811,2025-04-13
,4,1,47.8842717033333,8.08841628666667,7.32,,1,,,,,,,,,TreeID: 852 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/852,2025-04-13
,4,1,47.8843164616667,8.08861678666667,6.84,,1,,,,,,,,,TreeID: 813 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/813,2025-04-13
,4,1,47.884523295,8.08909495166667,77.03,,1,,,,,,,,,TreeID: 608 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/608,2025-04-10
,4,1,47.8846300216667,8.08892423166667,12.41,,1,,,,,,,,,TreeID: 505 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/505,2025-03-26
,4,1,47.8845622483333,8.08835773666667,57.14,,1,,,,,,,,,TreeID: 651 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/651,2025-04-10
,4,1,47.8851389683333,8.08828627333334,6.68,,1,,,,,,,,,TreeID: 68 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/68,2025-02-07
,4,1,47.88455654,8.08848186333334,70.98,,1,,,,,,,,,TreeID: 653 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/653,2025-04-10
,4,1,47.8846872816667,8.088109535,17.51,,1,,,,,,,,,TreeID: 537 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/537,2025-03-27
,4,1,47.8849356816667,8.08807948,31.67,,1,,,,,,,,,TreeID: 392 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/392,2025-03-05
,4,1,47.884308945,8.08891324333333,17.51,,1,,,,,,,,,TreeID: 821 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/821,2025-04-13
,4,1,47.8842893566667,8.08893294833333,14.64,,1,,,,,,,,,TreeID: 822 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/822,2025-04-13
,4,1,47.8843049983333,8.08897769,10.82,,1,,,,,,,,,TreeID: 823 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/823,2025-04-13
,4,1,47.8843064183333,8.08898038166667,7.0,,1,,,,,,,,,TreeID: 824 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/824,2025-04-13
,4,1,47.8843042283333,8.08898268,6.68,,1,,,,,,,,,TreeID: 825 | Plot: Mathisle | Species: 2 Fir (Abies alba ) | QR: https://dt.unr.uni-freiburg.de/mathisle/825,2025-04-13
