index,species,x,y,dbh,height,elevation,sensor
864,Beech,416694.439108061,5346755.34322948,0.308760589598277,26.870593383900005,517.144226074219,False
865,Beech,416701.013031053,5346757.6452438,0.130507053335354,27.1523237,517.794921875,False
866,Beech,416700.49027966,5346757.23434324,0.33422538049298,26.871709258622158,517.686401367188,False
867,Beech,416700.463921999,5346756.48141995,0.0636619772367581,28.172342803509807,517.659973144531,False
868,Beech,416695.828563591,5346754.60571188,0.101859163578813,25.57389776,517.2919921875,False
869,Beech,416702.4764,5346756.848,0.127323954473516,26.03716639,517.862670898438,False
870,Beech,416705.2912,5346757.134,0.155971844230057,27.73255757,518.1005859375,False
871,Beech,416704.0446,5346755.137,0.0604788783749202,24.9844809,518.026489257812,False
872,Spruce,416705.339494329,5346753.88636696,0.499746521308551,32.074054581850056,518.2685546875,False
873,Beech,416703.1725,5346750.885,0.324676083907466,25.05079378,518.248168945312,False
874,Beech,416701.166656894,5346750.9815623,0.070028174960434,27.281054370000003,517.989074707031,False
875,Beech,416700.2044,5346749.534,0.0986760647169751,25.32052377,518.055969238281,False
876,Beech,416699.3152,5346750.533,0.178253536262923,24.56450411,517.884826660156,False
877,Beech,416703.803119897,5346748.4413305,0.114591559026165,28.08037688330361,518.336975097656,False
878,Beech,416708.128905781,5346749.69753264,0.0986760647169751,29.92093390421667,518.57958984375,False
879,Beech,416710.2575,5346753.391,0.0795774715459477,26.67302393,518.587829589844,False
880,Spruce,416712.246,5346753.026,0.493380323584876,31.97730237,518.859436035156,False
881,Beech,416712.364746118,5346748.06045589,0.499746521308551,31.18685161626669,519.207153320312,False
882,Beech,416715.0116,5346752.381,0.181436635124761,23.53062986,519.070861816406,False
883,Beech,416715.2858,5346746.845,0.140056349920868,26.25157296,519.361999511719,False
884,Beech,416714.9942,5346744.872,0.226000019190491,28.26426242,519.341125488281,False
885,Beech,416716.7109,5346747.337,0.0827605704077856,26.80776954,519.399963378906,False
886,Beech,416719.1007,5346749.323,0.133690152197192,28.69062241,519.462463378906,False
887,Beech,416718.8725,5346753.318,0.378788764558711,28.64881455,519.383422851562,False
888,Beech,416720.9331,5346752.18,0.216450722604978,27.99493471,519.431030273438,False
889,Beech,416723.6264,5346754.645,0.452000038380983,28.93239304,519.709350585938,False
890,Beech,416723.2504,5346752.861,0.105042262440651,28.99907328,519.604797363281,False
891,Beech,416719.1019,5346744.142,0.372422566835035,29.32617617,519.700805664062,False
892,Beech,416716.9732,5346736.477,0.620704278058392,30.05138182,520.183654785156,False
893,Beech,416712.2256,5346737.891,0.101859163578813,29.79558621,519.527587890625,False
894,Beech,416710.8099,5346738.563,0.308760589598277,28.51013985,519.431823730469,False
